"area","slug","title","url","dest","status","bytes","message"
"normativa","dlgs-105-2022-conciliazione","D.Lgs. 105/2022 conciliazione vita-lavoro","https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2022-06-30;105!vig=/","wiki/raw/chapter-10-informatica/01-normativa-pa-digitale/dlgs-105-2022-conciliazione.html","ok","105581",""
"normativa","dlgs-165-2001-pubblico-impiego","D.Lgs. 165/2001 pubblico impiego art 37","https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2001-03-30;165!vig=/","wiki/raw/chapter-10-informatica/01-normativa-pa-digitale/dlgs-165-2001-pubblico-impiego.html","ok","121886",""
"eu","eidas-reg-910-2014","Regolamento UE 910/2014 eIDAS","https://eur-lex.europa.eu/legal-content/IT/TXT/HTML/?uri=CELEX:32014R0910","wiki/raw/chapter-10-informatica/01-normativa-pa-digitale/eidas-reg-910-2014.html","ok","370424",""
"eu","eidas2-reg-2024-1183","Regolamento UE 2024/1183 eIDAS 2","https://eur-lex.europa.eu/legal-content/IT/TXT/HTML/?uri=CELEX:32024R1183","wiki/raw/chapter-10-informatica/01-normativa-pa-digitale/eidas2-reg-2024-1183.html","ok","609387",""
"eu","nis2-dir-2022-2555","Direttiva UE 2022/2555 NIS2","https://eur-lex.europa.eu/legal-content/IT/TXT/HTML/?uri=CELEX:32022L2555","wiki/raw/chapter-10-informatica/01-normativa-pa-digitale/nis2-dir-2022-2555.html","ok","732110",""
"eu","open-data-reg-2023-138","Regolamento UE 2023/138 high value datasets","https://eur-lex.europa.eu/legal-content/IT/TXT/HTML/?uri=CELEX:32023R0138","wiki/raw/chapter-10-informatica/01-normativa-pa-digitale/open-data-reg-2023-138.html","ok","467032",""
"agid","agid-linee-guida-page","AgID pagina linee guida","https://www.agid.gov.it/it/linee-guida","wiki/raw/chapter-10-informatica/02-agid-linee-guida/agid-linee-guida-page.html","ok","186471",""
"agid","accessibilita-pa","AgID linee guida accessibilita PA","https://www.agid.gov.it/sites/agid/files/2024-06/Linee%20Guida%20sull%27accessibilit%C3%A0%20degli%20strumenti%20informatici%20-%20PA.pdf","wiki/raw/chapter-10-informatica/02-agid-linee-guida/accessibilita-pa.pdf","ok","1382264",""
"agid","accessibilita-pa-allegato-1","AgID accessibilita allegato 1 dichiarazione","https://www.agid.gov.it/sites/agid/files/2025-04/Allegato%201%20-%20Modello_di_dichiarazione_accessibilit%C3%A0.pdf","wiki/raw/chapter-10-informatica/02-agid-linee-guida/accessibilita-pa-allegato-1.pdf","ok","241243",""
"agid","accessibilita-pa-allegato-2","AgID accessibilita allegato 2 autovalutazione","https://www.agid.gov.it/sites/agid/files/2025-04/Allegato%202%20Modello_di_autovalutazione.pdf","wiki/raw/chapter-10-informatica/02-agid-linee-guida/accessibilita-pa-allegato-2.pdf","ok","409645",""
"agid","accessibilita-pa-allegato-3","AgID accessibilita allegato 3 prodotti assistivi","https://www.agid.gov.it/sites/agid/files/2025-04/Allegato%203%20Prodotti_assistivi_comunicazione_classe_22.pdf","wiki/raw/chapter-10-informatica/02-agid-linee-guida/accessibilita-pa-allegato-3.pdf","ok","236903",""
"agid","accessibilita-servizi-eaa","AgID linee guida accessibilita servizi EAA","https://www.agid.gov.it/sites/agid/files/2026-03/Linee_Guida_accessibilit%C3%A0_dei_servizi_%28EAA%29.pdf","wiki/raw/chapter-10-informatica/02-agid-linee-guida/accessibilita-servizi-eaa.pdf","ok","1336636",""
"agid","open-data-linee-guida","AgID linee guida open data","https://www.agid.gov.it/sites/agid/files/2024-05/lg-open-data_v.1.0_1.pdf","wiki/raw/chapter-10-informatica/02-agid-linee-guida/open-data-linee-guida.pdf","ok","4041421",""
"agid","dati-territoriali-linee-guida","AgID linee guida dati territoriali","https://www.agid.gov.it/sites/agid/files/2024-05/lgrndt_v201.pdf","wiki/raw/chapter-10-informatica/02-agid-linee-guida/dati-territoriali-linee-guida.pdf","ok","1552648",""
"agid","high-value-datasets-guida","AgID guida dati di elevato valore","https://www.agid.gov.it/sites/agid/files/2024-12/Guida_operativa_sulle_serie_di_dati_di_elevato_valore.pdf","wiki/raw/chapter-10-informatica/02-agid-linee-guida/high-value-datasets-guida.pdf","ok","1518876",""
"agid","design-pa-linee-guida","AgID linee guida design PA","https://www.agid.gov.it/sites/agid/files/2024-07/Linee_Guida_design_per_siti_internet_e_servizi_digitali_della_PA.pdf","wiki/raw/chapter-10-informatica/02-agid-linee-guida/design-pa-linee-guida.pdf","ok","371818",""
"agid","documento-informatico-linee-guida","AgID documento informatico linee guida","https://www.agid.gov.it/sites/agid/files/2024-06/Linee_guida_sul_documento_informatico.pdf","wiki/raw/chapter-10-informatica/02-agid-linee-guida/documento-informatico-linee-guida.pdf","ok","799434",""
"agid","documento-informatico-allegato-1","AgID documento informatico allegato 1 glossario","https://www.agid.gov.it/sites/agid/files/2024-06/allegato_1_glossario_dei_termini_e_degli_acronimi.pdf","wiki/raw/chapter-10-informatica/02-agid-linee-guida/documento-informatico-allegato-1-glossario.pdf","ok","545267",""
"agid","documento-informatico-allegato-2","AgID documento informatico allegato 2 formati","https://www.agid.gov.it/sites/agid/files/2024-06/allegato_2_formati_di_file_e_riversamento.pdf","wiki/raw/chapter-10-informatica/02-agid-linee-guida/documento-informatico-allegato-2-formati.pdf","ok","2446286",""
"agid","documento-informatico-allegato-3","AgID documento informatico allegato 3 certificazione processo","https://www.agid.gov.it/sites/agid/files/2024-06/allegato_3_certificazione_di_processo.pdf","wiki/raw/chapter-10-informatica/02-agid-linee-guida/documento-informatico-allegato-3-certificazione.pdf","ok","429231",""
"agid","documento-informatico-allegato-4","AgID documento informatico allegato 4 standard","https://www.agid.gov.it/sites/agid/files/2024-06/allegato_4_standard_e_specifiche_tecniche.pdf","wiki/raw/chapter-10-informatica/02-agid-linee-guida/documento-informatico-allegato-4-standard.pdf","ok","293857",""
"agid","documento-informatico-allegato-5","AgID documento informatico allegato 5 metadati","https://www.agid.gov.it/sites/agid/files/2024-06/allegato_5_metadati.pdf","wiki/raw/chapter-10-informatica/02-agid-linee-guida/documento-informatico-allegato-5-metadati.pdf","ok","774388",""
"agid","documento-informatico-allegato-6","AgID documento informatico allegato 6 AOO","https://www.agid.gov.it/sites/agid/files/2024-06/allegato_6_comunicazione_tra_aoo_di_documenti_amministrativi_protocollati.pdf","wiki/raw/chapter-10-informatica/02-agid-linee-guida/documento-informatico-allegato-6-aoo.pdf","ok","615588",""
"agid","documento-informatico-vademecum","AgID documento informatico vademecum","https://www.agid.gov.it/sites/agid/files/2024-06/vademecum_per_limplementazione_delle_linee_guida_sulla_formazione_gestione_e_conservazione_dei_documenti_informatici.pdf","wiki/raw/chapter-10-informatica/02-agid-linee-guida/documento-informatico-vademecum.pdf","ok","504776",""
"agid","contrassegno-elettronico-cad","AgID contrassegno elettronico art 23-ter CAD","https://www.agid.gov.it/sites/agid/files/2024-06/Linee_guida_contrassegno_elettronico_art_23_ter_cad.pdf","wiki/raw/chapter-10-informatica/02-agid-linee-guida/contrassegno-elettronico-cad.pdf","ok","1138821",""
"agid","inad-linee-guida","AgID linee guida INAD","https://www.agid.gov.it/sites/agid/files/2024-06/Linee_guida_inad.pdf","wiki/raw/chapter-10-informatica/02-agid-linee-guida/inad-linee-guida.pdf","ok","309527",""
"agid","ipa-linee-guida","AgID linee guida IPA","https://www.agid.gov.it/sites/agid/files/2024-07/Linee_Guida_IPA.pdf","wiki/raw/chapter-10-informatica/02-agid-linee-guida/ipa-linee-guida.pdf","ok","241247",""
"agid","interoperabilita-tecnica-pa","AgID interoperabilita tecnica PA","https://www.agid.gov.it/sites/agid/files/2024-05/linee_guida_interoperabilit_tecnica_pa.pdf","wiki/raw/chapter-10-informatica/02-agid-linee-guida/interoperabilita-tecnica-pa.pdf","ok","3291737",""
"agid","interoperabilita-all1-pattern-interazione","AgID interoperabilita allegato 1 pattern interazione","https://www.agid.gov.it/sites/agid/files/2024-07/Linee_guida_interoperabilit%C3%A0PA_All1_Pattern_interazione.pdf","wiki/raw/chapter-10-informatica/02-agid-linee-guida/interoperabilita-all1-pattern-interazione.pdf","ok","1028288",""
"agid","interoperabilita-all2-pattern-sicurezza","AgID interoperabilita allegato 2 pattern sicurezza","https://www.agid.gov.it/sites/agid/files/2024-07/Linee_guida_interoperabilit%C3%A0PA_All2_Pattern_sicurezza.pdf","wiki/raw/chapter-10-informatica/02-agid-linee-guida/interoperabilita-all2-pattern-sicurezza.pdf","ok","754640",""
"agid","interoperabilita-all3-profili","AgID interoperabilita allegato 3 profili","https://www.agid.gov.it/sites/agid/files/2024-07/Linee_guida_interoperabilit%C3%A0PA_All3_Profili_di_interoperabilit%C3%A0.pdf","wiki/raw/chapter-10-informatica/02-agid-linee-guida/interoperabilita-all3-profili.pdf","ok","533735",""
"agid","interoperabilita-all4-raccomandazioni","AgID interoperabilita allegato 4 raccomandazioni","https://www.agid.gov.it/sites/agid/files/2024-07/Linee_guida_interoperabilit%C3%A0PA_All4_Raccomandazioni-di_implementazione.pdf","wiki/raw/chapter-10-informatica/02-agid-linee-guida/interoperabilita-all4-raccomandazioni.pdf","ok","786592",""
"agid","api-security-linee-guida","AgID sicurezza interoperabilita API","https://www.agid.gov.it/sites/agid/files/2024-06/Linee_guida_tecnologie_e_standard_sicurezza_interoperabilit%C3%A0_api_sistemi_informatici.pdf","wiki/raw/chapter-10-informatica/02-agid-linee-guida/api-security-linee-guida.pdf","ok","1248649",""
"agid","api-security-all1-xml-signature","AgID API security allegato 1 XML signature","https://www.agid.gov.it/sites/agid/files/2024-07/Allegato%201%20-%20Raccomandazioni%20in%20merito%20agli%20algoritmi%20per%20XML%20Canonicalization%2C%20Digest%20and%20signature%20SOAP%20e%20REST.pdf","wiki/raw/chapter-10-informatica/02-agid-linee-guida/api-security-all1-xml-signature.pdf","ok","408861",""
"agid","api-security-all2-tls","AgID API security allegato 2 TLS","https://www.agid.gov.it/sites/agid/files/2024-07/Allegato%202%20-%20Raccomandazioni%20in%20merito%20allo%20standard%20Transport%20Layer%20Security%20%28TLS%29.pdf","wiki/raw/chapter-10-informatica/02-agid-linee-guida/api-security-all2-tls.pdf","ok","478021",""
"agid","pdnd-linee-guida","AgID PDND infrastruttura interoperabilita","https://www.agid.gov.it/sites/agid/files/2025-06/Linee_guida_Infrastruttura_Interoperabilit%C3%A0_PDND_v2_maggio_2025.pdf","wiki/raw/chapter-10-informatica/02-agid-linee-guida/pdnd-linee-guida.pdf","ok","1235853",""
"agid","pdnd-allegato-1","AgID PDND allegato 1 adesione","https://www.agid.gov.it/sites/agid/files/2025-06/Linee_guida_PDND_v2_allegato_1.pdf","wiki/raw/chapter-10-informatica/02-agid-linee-guida/pdnd-allegato-1.pdf","ok","280976",""
"agid","pdnd-allegato-2","AgID PDND allegato 2 API","https://www.agid.gov.it/sites/agid/files/2025-06/Linee_guida_PDND_v2_allegato_2.pdf","wiki/raw/chapter-10-informatica/02-agid-linee-guida/pdnd-allegato-2.pdf","ok","428202",""
"agid","pdnd-allegato-3","AgID PDND allegato 3 voucher","https://www.agid.gov.it/sites/agid/files/2025-06/Linee_guida_PDND_v2_allegato_3.pdf","wiki/raw/chapter-10-informatica/02-agid-linee-guida/pdnd-allegato-3.pdf","ok","490000",""
"agid","pdnd-allegato-4","AgID PDND allegato 4 segnali","https://www.agid.gov.it/sites/agid/files/2025-06/Linee_guida_PDND_v2_allegato_4.pdf","wiki/raw/chapter-10-informatica/02-agid-linee-guida/pdnd-allegato-4.pdf","ok","1221175",""
"agid","pdnd-allegato-5","AgID PDND allegato 5 callback","https://www.agid.gov.it/sites/agid/files/2025-06/Linee_guida_PDND_v2_allegato_5.pdf","wiki/raw/chapter-10-informatica/02-agid-linee-guida/pdnd-allegato-5.pdf","ok","577186",""
"agid","pdnd-allegato-6","AgID PDND allegato 6 modelli collaborazione","https://www.agid.gov.it/sites/agid/files/2025-06/Linee_guida_PDND_v2_allegato_6.pdf","wiki/raw/chapter-10-informatica/02-agid-linee-guida/pdnd-allegato-6.pdf","ok","364641",""
"agid","pdnd-allegato-7","AgID PDND allegato 7 popolamento","https://www.agid.gov.it/sites/agid/files/2025-06/Linee_guida_PDND_v2_allegato_7.pdf","wiki/raw/chapter-10-informatica/02-agid-linee-guida/pdnd-allegato-7.pdf","ok","260295",""
"agid","punto-accesso-telematico","AgID punto accesso telematico PA","https://www.agid.gov.it/sites/agid/files/2024-05/lg_punto_accesso_telematico_servizi_pa_3112021.pdf","wiki/raw/chapter-10-informatica/02-agid-linee-guida/punto-accesso-telematico.pdf","ok","689957",""
"agid","riuso-software-pa","AgID acquisizione e riuso software PA","https://www.agid.gov.it/sites/agid/files/2024-05/lg-acquisizione-e-riuso-software-per-pa-docs_pubblicata.pdf","wiki/raw/chapter-10-informatica/02-agid-linee-guida/riuso-software-pa.pdf","ok","3456562",""
"agid","firma-elettronica-qualificata","AgID firma elettronica qualificata","https://www.agid.gov.it/sites/agid/files/2024-06/Linee_guida_firma_elettronica_qualificata.pdf","wiki/raw/chapter-10-informatica/02-agid-linee-guida/firma-elettronica-qualificata.pdf","ok","343834",""
"agid","sottoscrizione-elettronica-art20-cad","AgID sottoscrizione elettronica art 20 CAD","https://www.agid.gov.it/sites/agid/files/2024-06/linee_guida_per_la_sottoscrizione_elettronica_di_documenti_ai_sensi_dellart.20_del_cad.pdf","wiki/raw/chapter-10-informatica/02-agid-linee-guida/sottoscrizione-elettronica-art20-cad.pdf","ok","312831",""
"agid","sicurezza-sviluppo-applicazioni","AgID sicurezza sviluppo applicazioni","https://www.agid.gov.it/sites/agid/files/2024-07/Linee-guida_di_sicurezza_sviluppo-applicazioni.pdf","wiki/raw/chapter-10-informatica/02-agid-linee-guida/sicurezza-sviluppo-applicazioni.pdf","ok","210070",""
"agid","sviluppo-software-sicuro-ciclo","AgID ciclo sviluppo software sicuro","https://www.agid.gov.it/sites/agid/files/2024-06/Linee_guida_per_ladozione_di_un_ciclo_di_sviluppo_di_software_sicuro.pdf","wiki/raw/chapter-10-informatica/02-agid-linee-guida/sviluppo-software-sicuro-ciclo.pdf","ok","10336153",""
"agid","sviluppo-sicuro-codice","AgID sviluppo sicuro codice","https://www.agid.gov.it/sites/agid/files/2024-06/Linee_guida_per_lo_sviluppo_sicuro_di_codice.pdf","wiki/raw/chapter-10-informatica/02-agid-linee-guida/sviluppo-sicuro-codice.pdf","ok","5357953",""
"agid","configurazione-software-base","AgID configurazione sicurezza software base","https://www.agid.gov.it/sites/agid/files/2024-06/Linee_guida_per_la_configurazione_per_adeguare_la_sicurezza_del_software_di_base.pdf","wiki/raw/chapter-10-informatica/02-agid-linee-guida/configurazione-software-base.pdf","ok","1642253",""
"agid","threat-modeling","AgID modellazione minacce","https://www.agid.gov.it/sites/agid/files/2024-06/Linee_guida_per_la_modellazione_delle_minacce-e-individuazione-azioni-di-mitigazione.pdf","wiki/raw/chapter-10-informatica/02-agid-linee-guida/threat-modeling.pdf","ok","2139583",""
"agid","spid-regole-tecniche","SPID regole tecniche Docs Italia","https://docs.italia.it/projects/spid-regole-tecniche/downloads/pdf/stabile/","wiki/raw/chapter-10-informatica/02-agid-linee-guida/spid-regole-tecniche.pdf","ok","497347",""
"agid","spid-minori","AgID SPID minori","https://www.agid.gov.it/sites/agid/files/2024-06/linee_guida_operative_fruizione_spid_minori_0.pdf","wiki/raw/chapter-10-informatica/02-agid-linee-guida/spid-minori.pdf","ok","604301",""
"agid","spid-rao-pubblico","AgID RAO pubblico","https://www.agid.gov.it/sites/agid/files/2024-06/Linee_guida_rao_pubblico.pdf","wiki/raw/chapter-10-informatica/02-agid-linee-guida/spid-rao-pubblico.pdf","ok","835905",""
"agid","spid-openid-connect","AgID OpenID Connect in SPID","https://www.agid.gov.it/sites/agid/files/2024-06/linee_guida_openid_connect_in_spid.pdf","wiki/raw/chapter-10-informatica/02-agid-linee-guida/spid-openid-connect.pdf","ok","884533",""
"agid","spid-identita-uso-professionale","AgID identita digitale uso professionale","https://www.agid.gov.it/sites/agid/files/2024-06/Linee_guida_identita_digitale_per_uso_professionale.pdf","wiki/raw/chapter-10-informatica/02-agid-linee-guida/spid-identita-uso-professionale.pdf","ok","239930",""
"agid","spid-attribute-authorities","AgID attribute authorities","https://www.agid.gov.it/sites/agid/files/2024-06/Linee%20guida_attribute_authorities.pdf","wiki/raw/chapter-10-informatica/02-agid-linee-guida/spid-attribute-authorities.pdf","ok","1579931",""
"agid","spid-attribute-authorities-allegato","AgID attribute authority allegato tecnico","https://www.agid.gov.it/sites/agid/files/2024-07/allegato_1_-_attribute_authority-allegato_tecnico_oas3.pdf","wiki/raw/chapter-10-informatica/02-agid-linee-guida/spid-attribute-authorities-allegato.pdf","ok","1161429",""
"pa-service","cie-manuale-entra-con-cie","CIE manuale Entra con CIE","https://www.cartaidentita.interno.gov.it/downloads/2023/06/Manuale-Entra-con-CIE.pdf","wiki/raw/chapter-10-informatica/03-servizi-digitali-pa/cie-manuale-entra-con-cie.pdf","ok","532412",""
"pa-service","cns-agid-page","AgID Carta Nazionale Servizi pagina","https://www.agid.gov.it/it/piattaforme/carta-nazionale-servizi","wiki/raw/chapter-10-informatica/03-servizi-digitali-pa/cns-agid-page.html","ok","55505",""
"pa-service","fatturapa-specifiche","Specifiche tecniche formato FatturaPA","https://www.fatturapa.gov.it/export/documenti/Specifiche_tecniche_del_formato_FatturaPA_V1.3.1.pdf","wiki/raw/chapter-10-informatica/03-servizi-digitali-pa/fatturapa-specifiche.pdf","ok","921234",""
"pa-service","fatturapa-portale","Portale FatturaPA documentazione","https://www.fatturapa.gov.it/it/norme-e-regole/documentazione-fattura-elettronica/","wiki/raw/chapter-10-informatica/03-servizi-digitali-pa/fatturapa-portale.html","ok","21119",""
"pa-service","pagopa-documentazione","Portale pagoPA documentazione PA","https://www.pagopa.gov.it/it/pubbliche-amministrazioni/documentazione/","wiki/raw/chapter-10-informatica/03-servizi-digitali-pa/pagopa-documentazione.html","ok","32871",""
"pa-service","anpr-portale","ANPR portale ufficiale","https://www.anagrafenazionale.interno.it/","wiki/raw/chapter-10-informatica/03-servizi-digitali-pa/anpr-portale.html","ok","65159",""
"pa-service","inad-portale","INAD domicilio digitale portale","https://domiciliodigitale.gov.it/","wiki/raw/chapter-10-informatica/03-servizi-digitali-pa/inad-portale.html","ok","5642",""
"pa-service","app-io-portale","App IO portale","https://io.italia.it/","wiki/raw/chapter-10-informatica/03-servizi-digitali-pa/app-io-portale.html","ok","281465",""
"pa-service","padigitale2026","PA Digitale 2026 portale","https://padigitale2026.gov.it/","wiki/raw/chapter-10-informatica/03-servizi-digitali-pa/padigitale2026.html","ok","2711680",""
"pa-service","piano-triennale-ict","Piano Triennale ICT 2024-2026 aggiornamento 2025","https://www.agid.gov.it/sites/agid/files/2025-01/Piano_Triennale_per_l_informatica_nella_PA_2024-2026_Aggiornamento_2025.pdf","wiki/raw/chapter-10-informatica/03-servizi-digitali-pa/piano-triennale-ict-2024-2026-aggiornamento-2025.pdf","ok","2811119",""
"pa-service","piano-triennale-ict-dpcm","DPCM 12 gennaio 2024 approvazione Piano Triennale ICT","https://pianotriennale-ict.italia.it/assets/pdf/2024-2026/DPCM_12_gennaio_2024.pdf","wiki/raw/chapter-10-informatica/03-servizi-digitali-pa/piano-triennale-ict-dpcm-12-gennaio-2024.pdf","ok","184066",""
"pa-service","strategia-cloud-italia","Strategia Cloud Italia PDF","https://docs.italia.it/media/pdf/strategia-cloud-italia-docs/stabile/strategia-cloud-italia-docs.pdf","wiki/raw/chapter-10-informatica/03-servizi-digitali-pa/strategia-cloud-italia.pdf","ok","2287840",""
"pa-service","cloud-determina-acn-306","Determina ACN 306 cloud classificazione","https://assets.innovazione.gov.it/1642693979-det_306_cloud_modclass_20220118.pdf","wiki/raw/chapter-10-informatica/03-servizi-digitali-pa/cloud-determina-acn-306.pdf","ok","1378752",""
"pa-service","cloud-determina-acn-306-allegato","Allegato determina ACN 306 classificazione","https://assets.innovazione.gov.it/1642694063-det_306_all1_20220118_modello.pdf","wiki/raw/chapter-10-informatica/03-servizi-digitali-pa/cloud-determina-acn-306-allegato.pdf","ok","39415",""
"pa-service","cloud-determina-acn-307","Determina ACN 307 requisiti cloud","https://assets.innovazione.gov.it/1642694131-det_307_cloud_ulteriorilerqc_20220118.pdf","wiki/raw/chapter-10-informatica/03-servizi-digitali-pa/cloud-determina-acn-307.pdf","ok","1409166",""
"pa-service","cloud-determina-acn-307-allegato","Allegato determina ACN 307 requisiti cloud","https://assets.innovazione.gov.it/1642754054-all1det307acn.pdf","wiki/raw/chapter-10-informatica/03-servizi-digitali-pa/cloud-determina-acn-307-allegato.pdf","ok","2317186",""
"competenze","icdl-computer-online-essentials","ICDL Computer and Online Essentials syllabus","https://icdl.org/wp-content/uploads/ICDL-Computer-Online-Essentials-Syllabus-1.0-1.pdf","wiki/raw/chapter-10-informatica/04-competenze-informatiche-base/icdl-computer-online-essentials.pdf","ok","233710",""
"competenze","icdl-application-essentials","ICDL Application Essentials syllabus","https://icdl.org/wp-content/uploads/2024/01/ICDL-Application-Essentials-Syllabus-1.0.pdf","wiki/raw/chapter-10-informatica/04-competenze-informatiche-base/icdl-application-essentials.pdf","ok","284741",""
"competenze","icdl-documents","ICDL Documents syllabus","https://icdl.org/wp-content/uploads/ICDL-Documents-Syllabus-6.0-1.pdf","wiki/raw/chapter-10-informatica/04-competenze-informatiche-base/icdl-documents.pdf","ok","144854",""
"competenze","icdl-spreadsheets","ICDL Spreadsheets syllabus","https://icdl.org/wp-content/uploads/ICDL-Spreadsheets-Syllabus-6.0-1.pdf","wiki/raw/chapter-10-informatica/04-competenze-informatiche-base/icdl-spreadsheets.pdf","ok","148561",""
"competenze","icdl-presentation","ICDL Presentation syllabus","https://icdl.org/wp-content/uploads/ICDL-Presentation-Syllabus-6.0.pdf","wiki/raw/chapter-10-informatica/04-competenze-informatiche-base/icdl-presentation.pdf","ok","207450",""
"competenze","icdl-databases","ICDL Databases syllabus","https://icdl.org/wp-content/uploads/2024/01/ICDL-Databases-Syllabus-6.0.pdf","wiki/raw/chapter-10-informatica/04-competenze-informatiche-base/icdl-databases.pdf","ok","331717",""
"office","libreoffice-writer-guide","LibreOffice Writer Guide 24.2","https://books.libreoffice.org/en/WG24/WG24.html","wiki/raw/chapter-10-informatica/04-competenze-informatiche-base/libreoffice-writer-guide.html","ok","4885",""
"office","libreoffice-calc-guide","LibreOffice Calc Guide 24.2","https://books.libreoffice.org/en/CG24/CG24.html","wiki/raw/chapter-10-informatica/04-competenze-informatiche-base/libreoffice-calc-guide.html","ok","4648",""
"office","libreoffice-impress-guide","LibreOffice Impress Guide 24.2","https://books.libreoffice.org/en/IG242/IG242.html","wiki/raw/chapter-10-informatica/04-competenze-informatiche-base/libreoffice-impress-guide.html","ok","4426",""
"office","libreoffice-base-guide","LibreOffice Base Guide 7.3","https://books.libreoffice.org/en/BG73/BG73.html","wiki/raw/chapter-10-informatica/04-competenze-informatiche-base/libreoffice-base-guide.html","ok","3880",""
"os","ubuntu-desktop-guide","Ubuntu Desktop Guide files and folders","https://help.ubuntu.com/stable/ubuntu-help/files.html.en","wiki/raw/chapter-10-informatica/04-competenze-informatiche-base/ubuntu-desktop-files.html","ok","17040",""
"os","microsoft-windows-file-explorer","Microsoft Windows File Explorer support","https://support.microsoft.com/en-us/windows/find-and-open-file-explorer-ef370130-1cca-9dc5-e0df-2f7416fe1cb1","wiki/raw/chapter-10-informatica/04-competenze-informatiche-base/microsoft-windows-file-explorer.html","ok","198695",""
"protocols","rfc-3986-uri","RFC 3986 URI","https://www.rfc-editor.org/rfc/rfc3986.txt","wiki/raw/chapter-10-informatica/05-reti-web-protocolli/rfc-3986-uri.txt","ok","141811",""
"protocols","rfc-9110-http","RFC 9110 HTTP Semantics","https://www.rfc-editor.org/rfc/rfc9110.txt","wiki/raw/chapter-10-informatica/05-reti-web-protocolli/rfc-9110-http.txt","ok","502941",""
"protocols","rfc-9293-tcp","RFC 9293 TCP","https://www.rfc-editor.org/rfc/rfc9293.txt","wiki/raw/chapter-10-informatica/05-reti-web-protocolli/rfc-9293-tcp.txt","ok","263696",""
"protocols","rfc-791-ipv4","RFC 791 IPv4","https://www.rfc-editor.org/rfc/rfc791.txt","wiki/raw/chapter-10-informatica/05-reti-web-protocolli/rfc-791-ipv4.txt","ok","94892",""
"protocols","rfc-8200-ipv6","RFC 8200 IPv6","https://www.rfc-editor.org/rfc/rfc8200.txt","wiki/raw/chapter-10-informatica/05-reti-web-protocolli/rfc-8200-ipv6.txt","ok","93162",""
